# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,
# COLUMN sy_gaiamag:     Gaia Magnitude,,,,,,,,
#,,,,,,,,
pl_name,pl_orbper,pl_bmasse,st_teff,st_rad,st_mass,st_logg,sy_dist,sy_gaiamag
HD 4308 b,15.56,15.8915,5686,1.02,0.93,4.39,22.0158,6.37578
HD 4313 b,356.21,612.45841,4943,5.14,1.63,3.24,136.308,7.57399
HD 43197 b,308.92072,175.75911,,,0.96,,62.4112,8.77158
HD 43197 c,9295.9735,2500.67391,,,0.96,,62.4112,8.77158
HD 43691 b,36.9987,810.4665,6093,1.6,1.32,,85.6009,7.8972
HD 44219 b,472.3,184.33,5752,1.32,1,4.21,52.9051,7.52973
HD 45184 b,5.8854,12.19,5869,,1.03,4.47,21.9532,6.21037
HD 45184 c,13.1354,8.81,5869,,1.03,4.47,21.9532,6.21037
HD 45350 b,963.6,568.89,5566,1.26,0.98,4.23,46.8733,7.7
HD 45364 b,225.79,60.16492,5466,0.89,0.82,,34.354,7.88016
HD 45364 c,345.43,174.4878,5466,0.89,0.82,,34.354,7.88016
HD 45652 b,44.073,137.62039,5294,0.94,0.92,,34.8541,7.9118
HD 457 b,20324.58153,8445.33643,,,1.15,,55.0375,7.57794
HD 46375 b,3.023573,71.8,5285,,0.92,4.53,29.5529,7.69533
HD 47186 b,4.0845,22.2481,5657,1.08,0.96,4.36,37.4574,7.44897
HD 47186 c,1353.6,111.42,,,,,37.4574,7.44897
HD 4732 b,360.2,753.23,4959,5.4,1.74,3.16,54.7841,5.6509
HD 4732 c,2732,753.23,4959,5.4,1.74,3.16,54.7841,5.6509
HD 47366 b,359.15,731.009,4914,6.2,2.19,3.1,84.3552,5.83869
HD 47366 c,682.85,597.5204,4914,6.2,2.19,3.1,84.3552,5.83869
HD 47536 b,712.13,2330,4380,23.47,2.1,,122.536,4.88004
HD 4760 b,434,4417.837,4076,42.4,1.05,1.62,537.873,6.98504
HD 48265 b,778.51,484.69075,5733,1.9,1.31,3.97,90.5446,7.87925
HD 4917 b,400.5,513.29545,4802,5.01,1.32,2.97,204.277,7.74877
HD 49674 b,4.94737,31.783,5602,1.02,1.03,4.44,43.0399,7.91841
HD 50499 b,2447.1,519.96988,6102,1.35,1.25,4.25,46.2845,7.0564
HD 50499 c,8619.9,931.2419,6099,1.42,1.31,4.42,46.2845,7.0564
HD 50554 b,1293,1574.464,5987,1.02,1.04,,31.1664,6.69786
HD 51608 b,14.0726,12.77,5358,,0.8,4.36,35.0553,7.96058
HD 51608 c,95.9446,14.31,5358,,0.8,4.36,35.0553,7.96058
HD 52265 b,119.27,384.5743,6136,,1.2,4.36,29.9803,6.15257
HD 5278 b,14.339156,7.8,6203,1.19,1.13,4.5,57.5846,7.80375
HD 5278 c,40.87,18.4,6203,1.19,1.13,4.5,57.5846,7.80375
HD 5319 b,637.1,494.54348,4871,4.06,1.27,3.26,121.405,7.77238
HD 5319 c,872.2,334.67499,4871,4.06,1.27,3.26,121.405,7.77238
HD 55696 b,1827,1230.0021,6012,1.52,1.29,,77.9693,7.81135
HD 5583 b,139.35,1837.0574,4830,9.09,1.01,2.53,219.216,7.30769
HD 5608 b,779.9,534.27223,4877,5.14,1.53,3.19,58.1105,5.72695
HD 564 b,492.3,104.88,5902,1.01,0.96,4.53,51.1659,8.17077
HD 56414 b,29.04992,,8500,1.75,1.89,,272.217,9.20475
HD 56957 b,5859.08992,1880.90851,,,1.03,,61.4925,7.39841
HD 5891 b,177.11,2425.0429,4673,10.64,1.93,2.67,283.502,7.79825
HD 59686 A b,299.36,2199.3836,4658,13.2,1.9,2.49,89.2721,5.13228
HD 60292 b,495.4,2065.895,4348,27,1.7,1.9,315.211,6.53238
HD 60532 b,201.9,336.8998,6245,2.57,1.5,3.8,25.9716,4.30793
HD 60532 c,600.1,797.7533,6245,2.57,1.5,3.8,25.9716,4.30793
HD 62364 b,5138,5965.6392,6255,1.4,1.16,4.14,53.112,7.1814
HD 62364 c,74839.94555,7923.46219,,,1.19,,53.112,7.1814
HD 62509 b,589.64,731,4892.63,,,,,
HD 62549 b,14306.88519,2707.5802,,,1.08,,49.3305,7.56542
HD 63433 b,7.10793,,5640,0.91,0.99,,22.4035,6.71831
HD 63433 c,20.5453,,5640,0.91,0.99,,22.4035,6.71831
HD 63454 b,2.81805,79.4575,4812,0.77,0.42,4.28,37.6894,9.05402
HD 63765 b,358,168.4499,5449,0.83,0.65,4.41,32.5376,7.90983
HD 63935 b,9.058811,10.8,5534,0.96,0.93,4.38,48.9739,8.39353
HD 63935 c,21.4023,11.1,5534,0.96,0.93,4.38,48.9739,8.39353
HD 64114 b,45.791,17.8,5676,,0.95,,31.5262,7.52581
HD 64121 b,623,813.64072,5078,5.44,1.64,3.19,129.966,7.17872
HD 6434 b,21.998,155.7367,5769,1.12,1.1,4.38,42.358,7.5609
HD 65216 b,577.6,411.58985,5612,,0.87,4.44,35.1205,7.7943
HD 65216 c,5370,645.1949,5612,,0.87,4.44,35.1205,7.7943
HD 66141 b,480.5,1906.9,4323,21.4,1.1,1.78,68.1509,3.97926
HD 66428 b,2269.81726,3478.94974,,,1.01,,53.2817,8.08142
HD 66428 c,10478.84437,560.64931,,,1.01,,53.2817,8.08142
HD 67087 b,352.2,973,6330,1.55,1.36,4.19,76.5217,7.92235
HD 67087 c,2374,1540,6330,1.55,1.36,4.19,76.5217,7.92235
HD 6718 b,2496,533.9544,5801,0.95,1.08,4.51,51.3444,8.28147
HD 68402 b,1103,975.7381,5950,1.02,1.12,4.47,78.4293,8.95443
HD 68988 b,6.27711,626.1251,5932,1.19,1.28,4.4,60.8447,8.04611
HD 68988 c,16000,4767.4261,5883.41,1.26,1.17,4.31,60.8447,8.04611
HD 69123 b,1193.3,966.19836,4842,7.72,1.68,2.86,75.116,5.49555
HD 69830 b,8.667,10.2,5385,,0.86,,12.5591,5.75392
HD 69830 c,31.56,11.8,5385,,0.86,,12.5591,5.75392
HD 69830 d,197,18.1,5385,,0.86,,12.5591,5.75392
HD 70573 b,851.8,1900,5737,,1,4.59,59.182,8.54261
HD 70642 b,2124.54,633.43519,5732,0.98,1.08,4.46,29.276,6.99211
HD 7199 b,615,85.8141,5371,0.97,0.77,4.35,36.1531,7.83743
HD 72490 b,858,561.92344,4934,4.96,1.21,3.21,126.339,7.57415
HD 72659 b,3549.39854,949.67128,,,1.09,,51.8949,7.3107
HD 72659 c,18207.72098,5977.08102,,,1.09,,51.8949,7.3107
HD 72892 b,39.44603,1737.88573,,,1.01,,69.7311,8.6469
HD 73267 b,1257.99159,1321.53052,,,0.93,,50.4093,8.67835
HD 73267 c,17071.78045,1630.77756,,,0.93,,50.4093,8.67835
HD 73526 b,188.3,978.9164,5601,1.53,1.14,4.12,97.2396,8.79682
HD 73526 c,379.1,715.09,,,1.01,,97.2396,8.79682
HD 73534 b,1750,353.42696,4917,2.58,1.16,3.6,83.3321,7.95707
HD 73583 b,6.398042,10.2,4511,0.65,0.73,4.62,31.5666,9.27033
HD 73583 c,18.87974,9.7,4511,0.65,0.73,4.62,31.5666,9.27033
HD 74156 b,51.63564,532.36258,,,1.1,,57.603,7.46934
HD 74156 c,2448.48726,2753.98315,,,1.1,,57.603,7.46934
HD 7449 b,1270.55195,2597.9294,,,1.2,,38.662,7.34996
HD 74698 b,15.017,23,5783,1.33,1.04,4.12,52.0648,7.60959
HD 74698 c,3449,126,5783,1.33,1.04,4.12,52.0648,7.60959
HD 75289 b,3.50927,155.7367,6117,1.23,1.29,4.37,29.1158,6.21047
HD 75784 b,341.2,317.83,4867,3.4,1.26,3.46,85.4321,7.5599
HD 75784 c,7900,1792.5612,4867,3.4,1.26,3.46,85.4321,7.5599
HD 75898 b,422.9,861.3193,5963,1.58,1.26,,78.0505,7.89597
HD 76700 b,3.97097,66.7443,5644,1.37,0.99,4.16,60.8831,7.97348
HD 76920 b,415.4,1249.0719,4698,7.47,1.17,2.94,184.031,7.5144
HD 77338 b,5.7361,19.0698,5341,0.97,1.37,4.6,45.935,8.40992
HD 79181 b,273.1,203.41018,4862,11.06,1.28,2.45,103.335,5.45292
HD 7924 b,5.39792,6.3566,5131,0.78,0.65,4.46,16.9922,6.92516
HD 7924 c,15.299,7.86,5075,0.78,0.83,4.59,16.9922,6.92516
HD 7924 d,24.451,6.44,5075,0.78,0.83,4.59,16.9922,6.92516
HD 79498 b,1807,425.8922,5748,1.05,1.08,,48.9489,7.8859
HD 80606 b,111.4367,1392.0954,5561,1.04,1.15,4.42,66.4711,8.82008
HD 80653 b,0.719573,5.72,5959,1.22,1.18,,109.86,9.30733
HD 80869 b,1752.92067,1609.80088,,,1.06,,85.3951,8.33173
HD 80883 b,6383.78352,1748.05624,,,0.88,,34.6011,8.3618
HD 80913 b,10839.83341,7505.2,,,1.11,,61.3603,7.33567
HD 81040 b,1005.98854,2151.06266,,,1.03,,34.4341,7.55543
HD 81688 b,184.02,858.1,4753,13,2.1,2.22,85.7183,5.12598
HD 81817 b,1021.20159,7668.5638,,,4.3,,269.126,3.80122
HD 81817 c,622.97802,7185.78245,,,4.3,,269.126,3.80122
HD 82886 b,705,740.5439,4953,5.26,2.53,3.4,127.061,7.38096
HD 82943 b,441.47,534.25,5935,1.18,1.08,4.33,27.5902,6.38964
HD 82943 c,220.078,622.603,5935,1.18,1.08,4.33,27.5902,6.38964
HD 8326 b,158.991,66.6,4914,,0.8,,30.6862,8.47487
HD 83443 b,2.985628,127.76702,5442,0.94,1,4.39,40.8991,8.0265
HD 83443 c,8241,476.74261,5442,0.94,1,4.39,40.8991,8.0265
HD 8535 b,1313,216.1244,6136,1.19,1.13,4.46,55.4401,7.56066
HD 85390 b,799.52,31.46517,5186,,0.76,4.41,33.5225,8.29462
HD 85512 b,58.43,3.1783,4300,0.71,0.43,4.36,11.281,7.18726
HD 8574 b,227,645.1949,6064,1.38,1.34,4.28,44.8264,6.98345
HD 86065 b,25775.78859,2877.30057,,,0.81,,40.3661,9.06059
HD 86081 b,2.1378431,470.3884,5939,1.46,1.21,,103.936,8.58804
HD 86226 b,1628,143.0235,5863,1.05,1.02,4.4,45.683,7.7713
HD 86226 c,3.98442,7.25,5863,1.05,1.02,4.4,45.683,7.7713
HD 86264 b,1488.79123,3117.26102,,,1.26,,67.8107,7.28372
HD 8673 b,1644.69097,4210.59074,,,1.28,,37.8619,6.2242
HD 86950 b,1270,1144.188,4805,8.8,1.66,2.66,209.839,7.17997
HD 87646 b,13.481,3941.092,5770,1.55,1.12,4.1,73.58352,7.9295
HD 87883 b,3309.22118,1719.13385,,,0.81,,18.2912,7.27194
HD 88072 b,18538.79293,2511.7979,,,1.04,,35.9098,7.37665
HD 88133 b,3.414884,90.42263,5392,2.2,1.26,3.88,73.6123,7.80979
HD 89307 b,2166,670.6213,5955,1.1,1.27,4.46,32.0104,6.86817
HD 89345 b,11.8143,34.9613,5576,1.75,1.16,4.02,132.345,9.21702
HD 89744 b,256.78,2653.8805,6291,,1.86,4.07,38.6364,5.60551
HD 89839 b,3441,1592.32032,6314,,1.21,4.49,57.3063,7.51304
HD 90156 b,49.77,17.98,5599,,0.84,4.48,21.9496,6.73951
HD 9174 b,1179,352.7913,5577,1.67,1.03,4.03,81.4893,8.22923
HD 92788 b,325.803,1195.0408,5744,1.14,1.15,4.39,34.6538,7.13929
HD 92788 c,11611.2975,1166.4361,5744,1.14,1.15,4.39,34.6538,7.13929
HD 93083 b,143.58,117.59,4995,,0.7,4.26,28.5159,8.04206
HD 93351 b,2.45946,3.49611,,,0.94,,56.163,8.94652
HD 93351 c,14010.2941,4154.01728,,,0.94,,56.163,8.94652
HD 93385 b,7.3426,4.2,5977,,1.04,4.42,43.3475,7.33769
HD 93385 c,13.18,7.1,5977,,1.04,4.42,43.3475,7.33769
HD 93385 d,45.85,8.7,5977,,1.04,4.42,43.3475,7.33769
HD 93963 A b,1.0391353,7.8,5987,1.04,1.11,4.49,82.3432,9.03376
HD 93963 A c,3.6451398,19.2,5987,1.04,1.11,4.49,82.3432,9.03376
HD 9446 b,30.052,222.472,5793,1,1,4.53,50.3503,8.2095
HD 9446 c,192.9,578.426,5793,1,1,4.53,50.3503,8.2095
HD 94771 b,2164,169,5631,1.9,1.2,3.94,57.7807,7.17929
HD 94834 b,1576,400.4658,4798,4.2,1.11,3.22,98.1609,7.30241
HD 95086 b,,1589,,,1.6,,86.2279,7.30915
HD 95089 b,464.4,400.4658,4918,5.08,1.54,3.24,136.957,7.66056
HD 95089 c,1785,1096.5135,4918,5.08,1.54,3.24,136.957,7.66056
HD 95127 b,482,3378.5329,4218,41.01,3.7,1.78,676.579,7.72111
HD 95338 b,55.087,42.44,5212,0.87,0.83,4.54,36.9941,8.38213
HD 95544 b,2041.54152,1913.64484,,,1.01,,87.8049,8.210671
HD 95735 c,2946,13.6,3719,0.37,0.39,4.89,5.675773,
HD 95872 b,4375,1188.6842,5312,0.84,0.7,4.43,72.2195,9.65278
HD 96063 b,362.5,403.6441,5020,4.75,1.37,3.33,140.065,7.96991
HD 96127 b,647.29999,6661.7168,3943,51.1,10.94,2.06,587.659,6.88245
HD 96167 b,498.04,227.88411,5733,1.94,1.27,3.99,85.3006,7.92849
HD 96700 b,8.1245,8.9,5845,,0.89,4.39,25.4111,6.35547
HD 96700 c,19.88,3.5,5845,,0.89,4.39,25.4111,6.35547
HD 96700 d,103.5,12.7,5845,,0.89,4.39,25.4111,6.35547
HD 96992 b,514,362.3262,4725,7.43,0.96,2.76,396.082,8.27377
HD 97037 b,6449.08337,6707.76853,,,1.06,,32.413,6.64346
HD 97048 b,,794.575,10000,2.25,2.4,,183.857,8.33867
HD 97658 b,9.4897116,8.3,5212,0.73,0.85,4.64,21.5618,7.5136
HD 98219 b,433.8,624.21812,4925,4.6,1.41,3.36,113.704,7.79079
HD 98649 b,5697.3043,2665.30902,,,1.02,,42.1727,7.82889
HD 98736 b,968.8,740.5439,5271,0.93,0.92,,32.4459,7.75446
HD 99109 b,439.29999,139.8452,5282,0.98,0.76,4.34,54.7901,8.86823
HD 99283 b,310.4,308.29355,4886,11.21,1.76,2.57,111.093,5.46403
HD 99492 b,17.0431,22.2481,4815,0.83,0.48,4.28,18.2038,7.26005
HD 99706 b,841,390.9309,4862,5.52,1.46,3.09,146.6,7.37747
HD 99706 c,1278,1808.4527,,,1.72,,146.6,7.37747
HIP 105854 b,184.2,2606.1,4780,,2.1,2.94,78.6381,5.28614
HIP 107772 b,55.199,12.9,,,0.63,,23.6434,9.93207
HIP 107773 b,144.3,629.3034,4945,11.6,2.42,2.6,105.18,5.36073
HIP 109384 b,499.48,495.8148,5180,,0.78,4.43,58.9582,9.387981
HIP 109600 b,232.08,851.7844,5530,,0.87,4.45,66.3361,9.003861
HIP 114933 b,1481.6,616.58711,4823,5.27,1.39,2.99,101.766,6.97658
HIP 116454 b,9.0949,10.1,5089,0.72,0.76,,62.4491,9.93208
HIP 12961 b,57.435,114.4188,3901,0.65,0.69,4.65,23.371,9.59893
HIP 14810 b,6.673892,1239.537,5544,1.07,1.01,,50.48,8.33307
HIP 14810 c,147.747,416.3573,5544,1.07,1.01,,50.48,8.33307
HIP 14810 d,981.8,187.5197,5544,1.07,1.01,,50.48,8.33307
HIP 19976 b,50.65905,21.61233,,,0.67,,40.2707,9.88841
HIP 19976 c,17128.35284,9501.75953,,,0.67,,40.2707,9.88841
HIP 21152 b,22000,7627.88177,6655,,1.4,4.3,43.4073,6.25568
HIP 34222 b,159.986,263.79758,,,0.62,,22.8386,9.57701
HIP 35173 b,41.516,12.7,4881,,0.79,,33.1562,8.70829
HIP 35965 b,26125.56497,2589.98369,,,0.78,,50.1677,9.88264
HIP 38594 b,60.722,8.1,,,0.61,,17.7886,9.08528
HIP 38594 c,3477.768,48.4,,,0.61,,17.7886,9.08528
HIP 41378 b,15.572098,,6226,1.34,1.17,,106.289,8.80998
HIP 41378 c,31.70648,,6226,1.34,1.17,,106.289,8.80998
HIP 41378 d,1114,,6226,1.34,1.17,,106.289,8.80998
HIP 41378 e,,,6226,1.34,1.17,,106.289,8.80998
HIP 41378 f,1084,,6226,1.34,1.17,,106.289,8.80998
HIP 4845 b,34.15,14.4,,,0.62,,21.0974,9.37826
HIP 48714 b,17.818,22.9,,,0.58,,10.5298,8.22861
HIP 5158 b,345.72,451,4962,,0.78,4.37,51.6026,9.80235
HIP 5158 c,9017.76,4780.1632,4813,0.75,0.78,4.58,51.6026,9.80235
HIP 54373 b,7.76,8.62,4021,,0.57,,18.7168,9.64076
HIP 54373 c,15.144,12.44,4021,,0.57,,18.7168,9.64076
HIP 54597 b,3250,639,4799,0.66,0.69,4.43,39.7429,9.4828
HIP 55507 b,5138.43727,2585.53409,,,0.65,,25.4893,9.26803
HIP 56640 b,2675.57603,2151.69832,,,1.75,,122.324,7.64993
HIP 57274 b,8.1352,6.3566,4510,0.78,0.29,4.11,25.8618,8.57069
HIP 57274 c,32.03,130,4640,0.68,0.73,4.71,25.8618,8.57069
HIP 57274 d,431.7,167.4,4640,0.68,0.73,4.71,25.8618,8.57069
HIP 5763 b,30.014,162.09249,,,0.72,,31.9043,9.39022
HIP 63242 b,124.6,2917.56,4830,,1.54,2.53,156.456,6.56453
HIP 65 A b,0.9809734,1021.18779,4590,0.72,0.78,4.61,61.7856,10.5895
HIP 65407 b,28.125,136.03124,5460,,0.93,4.47,61.7804,9.15101
HIP 65407 c,67.3,249.17872,5460,,0.93,4.47,61.7804,9.15101
HIP 65426 b,,2860.47,8840,1.77,1.96,,108.875,6.98273
HIP 65891 b,1079.55726,1871.37366,,,2.49,,150.292,6.48224
HIP 67522 b,6.959503,,5675,1.38,1.22,,127.28,9.63261
HIP 67537 b,2523.64713,4309.11754,,,2.32,,116.046,6.17087
HIP 67851 b,88.87622,498.35494,,,1.9,,64.1181,5.89329
HIP 67851 c,3923.6609,2204.77566,,,1.9,,64.1181,5.89329
HIP 70849 b,17337.5,2860,4105,,0.63,,24.0572,9.69796
HIP 71135 b,87.19,18.8,4146,,0.66,,32.3311,9.95835
HIP 74890 b,822.3,762.792,4850,5.77,1.74,3.1,78.6562,6.75234
HIP 75056 A b,47000,7945.71018,,,1.92,,125.212,7.73867
HIP 75092 b,926.4,568.91285,4891,4.53,1.28,3.09,81.6696,6.82953
HIP 78530 b,,7300,10500,,2.5,,136.759,7.14665
HIP 79098 AB b,,6515.515,,,3.75,,145.798,5.83871
HIP 79431 b,111.7,667.415,3191,,0.49,,14.5324,10.2351
HIP 8541 b,1852.14387,2451.72833,,,2.01,,155.121,7.56075
HIP 86221 b,2.224,225.65817,,,0.79,,29.4898,
HIP 90988 b,455.73816,668.07531,,,1.61,,94.0349,7.46648
HIP 91258 b,5.0505,346.4347,5519,0.89,0.97,4.53,45.8846,8.45032
HIP 94235 b,7.713057,379,5991,1.08,1.09,4.46,58.5146,8.16034
HIP 948 b,24955.45756,6547.26518,,,0.71,,34.8523,9.55771
HIP 9618 b,20.772907,10,5609,0.97,1.02,4.45,67.5478,9.02543
HIP 9618 c,52.563491,18.3,5609,0.97,1.02,4.45,67.5478,9.02543
HIP 97166 b,10.28891,20,5198,0.84,0.9,4.41,65.9501,9.68443
HIP 97166 c,16.84,9.9,5198,0.84,0.9,4.41,65.9501,9.68443
HIP 97233 b,1062.26506,6098.17365,,,1.81,,102.275,7.07025
HIP 99770 b,18600,5117.03735,8000,,1.85,,40.0765,4.9147
HN Peg b,,6991.57,,,,,18.1186,5.82363
HR 2562 b,,9534.9,,,1.3,,34.0071,5.99741
HR 5183 b,27000,1026.5909,5794,1.53,1.07,4.02,31.4607,6.17464
HR 810 b,302.79999,721.4741,6167,1.13,1.34,4.46,17.3181,5.25587
HR 858 b,3.58599,,6201,1.31,1.15,4.26,31.964,6.25276
HR 858 c,5.97293,,6201,1.31,1.15,4.26,31.964,6.25276
HR 858 d,11.23,,6201,1.31,1.15,4.26,31.964,6.25276
HR 8799 b,170000,2000,,,1.5,,41.2441,5.90914
HR 8799 c,69000,3000,,,1.5,,41.2441,5.90914
HR 8799 d,37000,3000,,,1.5,,41.2441,5.90914
HR 8799 e,,3178.3,7400,,,4,41.2441,5.90914
HU Aqr AB b,2390,1875.197,,,0.88,,,16.4718
HU Aqr AB c,4368,1430.235,,,0.88,,,16.4718
IC 4651 9122 b,734,2002.329,,,2.1,2.52,859.324,10.5336
K2-10 b,19.3044,27,5620,0.98,0.92,4.5,272.36,12.2156
K2-100 b,1.6739035,21.8,5945,1.24,1.15,4.33,188.959,10.4053
K2-101 b,14.6762429,,4927,0.76,0.82,4.59,188.33,12.6619
K2-102 b,9.915615,,4695,0.71,0.77,,188.175,12.8466
K2-104 b,1.9741954,,3712,0.48,0.51,4.78,189.289,15.3955
K2-105 b,8.2669928,,5636,0.97,1.05,4.49,197.989,11.7124
K2-107 b,3.313959,,6061,1.81,1.3,4.04,685.2,12.7669
K2-108 b,4.733999,,5599,1.76,1.17,4.02,477.295,12.1704
K2-11 b,39.93767,,5433,5.15,1.35,,329.309,13.1501
K2-110 b,13.86375,15.9,5010,0.71,0.74,,116.474,11.6627
K2-111 b,5.3518,5.58,5775,1.25,0.84,,200.394,10.9294
K2-111 c,15.6805,11.08,5775,1.25,0.84,,200.394,10.9294
K2-113 b,5.817685,,5660,1.24,1.04,4.27,635.722,13.5039
K2-114 b,11.3909311,638.8351,4920,0.82,0.86,4.54,475.758,14.2751
K2-115 b,20.272615,,5657,0.88,0.95,4.53,413.591,13.2
K2-116 b,4.655411,,4348.35,0.67,0.69,,49.3855,10.3281
K2-117 b,1.2916,,3778,0.51,0.54,4.75,101.632,13.8012
K2-117 c,5.444017,,3778,0.51,0.54,4.75,101.632,13.8012
K2-118 b,50.92092,,4726.29,0.73,0.76,,321.722,13.7484
K2-119 b,7.727283,,4740,0.71,0.76,4.62,365.581,14.5103
K2-12 b,8.28246,5.2,5672,1.12,0.96,,326.381,12.0884
K2-120 b,9.562742,,4349.9,0.67,0.69,,,
K2-121 b,5.1857539,,4690,0.67,0.69,4.63,169.398,12.9247
K2-122 b,2.2193023,,4009,0.59,0.63,4.69,72.0444,12.3708
K2-123 b,30.951524,,4035,0.59,0.62,4.69,161.555,14.0916
K2-124 b,6.413651,,3570,0.39,0.39,4.86,140.385,15.4618
K2-125 b,21.750264,,3654.47,0.4,0.49,,124.156,15.1508
K2-126 b,7.385655,,4339,0.65,0.69,4.66,102.953,12.4013
K2-127 b,3.588163,,4575,0.66,0.72,4.65,709.999,14.7871
K2-128 b,5.675819,,4469.51,0.78,0.71,,114.637,12.2204
K2-129 b,8.239493,,3459.09,0.36,0.36,,27.7957,12.4624
K2-13 b,39.91488,,5698,0.78,0.8,,342.394,12.739
K2-130 b,2.49412,,4356.47,0.74,0.7,,118.011,12.3253
K2-131 b,0.3693038,7.9,5120,0.76,0.8,,152.509,11.8999
K2-132 b,9.1751,155.7367,4840,3.85,1.08,3.3,609.818,11.64
K2-133 b,3.07133,,3655,0.46,0.46,,75.1703,13.3245
K2-133 c,4.86784,,3655,0.46,0.46,,75.1703,13.3245
K2-133 d,11.02454,,3655,0.46,0.46,,75.1703,13.3245
K2-133 e,26.5841,,3655,0.46,0.46,,75.1703,13.3245
K2-136 b,7.9752,4.3,4500,0.68,0.74,4.68,59.2474,10.8545
K2-136 c,17.30713,18.1,4500,0.68,0.74,4.68,59.2474,10.8545
K2-136 d,25.575,3,4500,0.68,0.74,4.68,59.2474,10.8545
K2-137 b,0.179719,,3697,0.29,,5,98.8765,14.4345
K2-138 b,2.35309,3.1,5356.3,0.86,0.94,4.54,202.585,12.0252
K2-138 c,3.56004,6.31,5356.3,0.86,0.94,4.54,202.585,12.0252
K2-138 d,5.40479,7.92,5356.3,0.86,0.94,4.54,202.585,12.0252
K2-138 e,8.26146,12.97,5356.3,0.86,0.94,4.54,202.585,12.0252
K2-138 f,12.75758,1.63,5356.3,0.86,0.94,4.54,202.585,12.0252
K2-138 g,41.96797,4.32,5356.3,0.86,0.94,4.54,202.585,12.0252
K2-139 b,28.380619,,5370,0.88,0.96,4.54,153.856,11.4626
K2-14 b,8.36802,,3789,0.45,0.47,,364.048,15.5348
K2-140 b,6.569188,295.58042,5585,1.06,0.96,4.4,347.917,12.4814
K2-141 b,0.2803244,4.97,4570,0.68,0.71,,61.8736,10.7217
K2-141 c,7.7485,8,4570,0.68,0.71,,61.8736,10.7217
K2-146 b,2.6446,5.77,3385,0.33,0.33,,79.3002,14.9834
K2-146 c,4.00498,7.49,3385,0.33,0.33,,79.3002,14.9834
K2-147 b,0.961918,,3775,0.31,,5,90.5494,13.1913
K2-148 b,4.38395,,4079,0.63,0.65,4.65,124.458,13.0599
K2-148 c,6.9226,,4079,0.63,0.65,4.65,124.458,13.0599
K2-148 d,9.7579,,4079,0.63,0.65,4.65,124.458,13.0599
K2-149 b,11.332,,3745,0.57,0.59,4.71,123.676,13.7795
K2-15 b,11.8104,,5131,0.68,0.72,,493.992,14.4237
K2-150 b,10.59357,,3499,0.44,0.46,4.82,102.483,14.815
K2-151 b,3.835476,,3695,0.45,0.47,4.8,69.4798,13.3119
K2-152 b,32.6479,,4044,0.61,0.63,4.67,108.449,13.0383
K2-153 b,7.51574,,3845,0.53,0.55,4.73,143.125,14.2706
K2-154 b,3.67626,,4097,0.63,0.65,4.65,129.356,13.3173
K2-154 c,7.95486,,4097,0.63,0.65,4.65,129.356,13.3173
K2-155 b,6.342,,4258,0.58,0.65,4.6,72.7998,12.2528
K2-155 c,13.85,,4258,0.58,0.65,4.6,72.7998,12.2528
K2-155 d,40.718,,4258,0.58,0.65,4.6,72.7998,12.2528
K2-156 b,0.813143,,4460,0.62,,4.7,150.21,12.9484
K2-157 b,0.365261,,5456,0.88,,4.5,298.373,12.6419
K2-158 b,10.06049,,5503,0.95,0.92,4.45,197.299,11.6134
K2-158 c,5.90279,,5503,0.95,0.92,4.45,197.299,11.6134
K2-159 b,12.42205,,5425,0.83,0.9,4.56,170.998,11.6397
K2-16 b,7.6188,,4742,0.66,0.68,4.51,334.967,14.3234
K2-16 c,19.07863,,4742,0.66,0.68,4.51,334.967,14.3234
K2-160 b,3.705871,,5649,0.91,0.98,4.61,315.363,12.542
K2-161 b,9.283188,,4972,2.57,0.99,3.63,916.319,12.3574
K2-162 b,9.45889,,4842,0.69,0.75,4.63,124.433,11.9662
K2-163 b,6.673117,,4937,0.76,0.83,4.71,208.529,12.8062
K2-164 b,17.355066,,5791,2.2,1.18,3.81,375.67,11.0942
K2-165 b,2.354992,,5185,0.8,0.83,4.46,134.591,11.3272
K2-165 c,4.382745,,5185,0.8,0.83,4.46,134.591,11.3272
K2-165 d,14.101361,,5185,0.8,0.83,4.46,134.591,11.3272
K2-166 b,8.52695,,5960,1.61,1.16,4.09,476.882,11.9456
K2-167 b,9.97748,6.5,6011,1.49,1.01,,80.8994,8.103581
K2-168 b,15.8523,,5502.7,0.83,0.88,,243.935,12.0976
K2-169 b,6.380803,,5548,0.92,0.99,4.56,235.867,12.0063
K2-17 b,17.96753,,4320,0.66,0.71,,125.106,13.0023
K2-170 b,7.576544,,5748,0.98,0.96,4.34,392.872,12.4959
K2-170 c,12.400047,,5748,0.98,0.96,4.34,392.872,12.4959
